	小分類名
40108	唐揚
40109	魚貝唐揚
40110	畜肉唐揚
40112	天ぷら
40113	天ぷらバラ
40114	野菜天ぷら
40115	魚貝天ぷら
40116	畜肉天ぷら
40117	かき揚げ
40118	あんかけ天ぷら
40119	その他揚物
40120	スナック
40121	ポテト揚物
40122	オードブル
40123	練り揚物
40124	焼物
40125	焼鳥
40126	野菜焼物
40127	魚貝焼物
40128	畜肉焼物
40129	チキン焼物
40130	うなぎ
40132	中華
40133	餃子
40134	おかず（その他）
40135	煮もの
40136	和え物
40137	洋惣菜
40138	フレッシュサラダ
40139	練サラダ
40140	グラタン・ドリア
40141	マリネ
40142	煮もの１
40143	煮もの２
40144	和え物（店内加工）
40145	蒸し物
40146	煮魚
40147	煮豆
40148	その他煮もの
40149	煮もの３
40150	佃煮昆布
40151	魚貝昆布
40152	予約おせち
40153	おせちパック
40154	サラダ
40155	ピザパイ（店内加工）
40156	グラタン
40157	デリ
40158	調理パン（店内加工）
40159	レトルト
40160	半生惣菜
40161	その他洋惣菜
40162	その他サラダ
40200	米飯
40201	焼もの弁当
40202	中華弁当
40203	唐揚弁当
40204	ハンバーグ弁当
40205	とんかつ弁当
40206	焼魚弁当
40207	少量多品種弁当
40208	詰合せ弁当
40209	旬の弁当
40210	その他弁当
40211	おにぎり
40212	おにぎりセット
40213	その他米飯
40214	丼ぶり
40215	重もの
40216	おこわ
40217	麺類
40218	菓子
40219	パン
40220	おにぎり（店内調理）
40221	丼ぶり（店内調理）
40222	餅団子（店内加工）
40223	その他米飯（店内加工）
40224	他米飯（店内加工）
40300	アウトパック
40301	焼物
40302	中華
40303	その他おかず
40304	寿司
40305	弁当
40306	その他調理サラダ
40307	麺類
40308	その他米飯
40309	おにぎり
40310	サンドイッチ
40311	ロールパン
40312	その他調理パン
40313	お節盛合せ
40314	和惣菜
40315	洋惣菜
40316	フレッシュサラダ
40317	練りサラダ
40318	おせち予約販売
40320	和風スナック
40321	洋風スナック
40322	レンジアップスープ
40323	レンジアップ麺
40324	レンジアップパスタ
40325	PCサラダ
40326	PC魚介
40327	PC昆布・佃煮
40328	PCその他
40329	その他アウトパック
40394	催事
40398	アウトパック評価損B
40400	ﾍﾞｰｶﾘｰ・ﾓﾊﾞｲﾙﾌｰｽﾞ
40401	惣菜パン
40402	ドーナツ
40403	デニッシュ
40404	食事パン
40405	パイ
40406	コーヒー
40407	ソフトドリンク
40408	わたがし
40409	ポップコーン
40410	ホットスナック
40411	生ビール
40412	麺類
40413	ご飯類
40414	甘味
40415	ベーカリー副原料
40416	ベーカリー資材
40417	菓子パン
40418	食パンフランスパン
40419	ピザ
40420	Tapimo
40421	タピオカドリンク
40422	ソフトクリーム
40423	さつまいもモバイル
40424	焼き芋
40425	焼き菓子
40426	スイーツ
40427	粉もの
40430	和菓子
40431	バラ売りパン
40432	袋パン
40498	ﾍﾞｰｶﾘｰ・ﾓﾊﾞｲﾙﾌｰｽﾞ評価損B
40500	デリカキッチン・スイーツ
40501	カフェ　持ち帰り
40502	定食・丼　持ち帰り
40503	タピオカ　持ち帰り
40504	さつまいもモバイル　持ち帰り
40505	焼き芋　持ち帰り
40506	韓国
40507	ステーキ　持ち帰り
40508	盛り合わせ料理
40509	米飯
40510	麺
40511	サラダ
40600	デリカ寿司
40601	細巻き
40602	中巻き
40603	太巻き
40604	巻寿司バラ
40605	生寿司
40606	その他寿司
40607	押し寿司
40608	いなり寿司
40609	詰合せ寿司
40610	ちらし寿司
40611	寿司丼ぶり
40612	寿司麺セット
40700	芝武
40800	デリカ副資材
40801	おかず調理料副資材
40802	主食トレイ
40803	主食調味料副資材
40804	その他副資材
40900	イート・イン
40901	定食・丼
40902	ステーキ
40903	寿司
40904	ピザ
40905	韓国
40906	カフェ
40907	酒類
40908	鉄板焼き
40909	スイーツ
40910	タピオカ
40911	さつまいもモバイル
40912	焼き芋
40913	バルおつまみ
41000	デリカ委託売上
41100	センターキッチン
41101	揚げ物惣菜
41102	焼き物惣菜
41103	その他惣菜
41104	中華総菜
41105	冷惣菜
41106	おにぎり
41107	畜肉弁当
41108	魚介弁当
41109	その他弁当
41110	畜肉丼
41111	魚介丼
41112	その他丼
41113	寿司
41114	スナック
41200	包材・料理酒
41201	包材
41202	みりん・料理酒
41300	ユニフード
41301	カルビ天国
48000	UNY統合用非課税
48100	UNY統合用8％外税
48200	UNY統合用8％内税
48300	UNY統合用10％外税
48400	UNY統合用10％内税
50101	銘柄牛切り落し
50102	銘柄牛スライス
50103	銘柄牛ステーキ
50104	銘柄牛焼肉
50105	銘柄牛しゃぶしゃぶ
50106	銘柄牛かたまり
50107	銘柄牛味付
50108	銘柄牛その他
50109	銘柄牛原料
50121	和牛切り落し
50122	和牛スライス
50123	和牛ステーキ
50124	和牛焼肉
50125	和牛しゃぶしゃぶ
50126	和牛かたまり
50127	和牛味付
50128	和牛その他
50129	和牛原料
50131	国産牛切り落し（交雑種/肉専用種）
50132	国産牛スライス（交雑種/肉専用種）
50133	国産牛ステーキ（交雑種/肉専用種）
